Family,Genus,species,sub.species,binomial,other.genera,other.species,other.names.sub.species,Source.of.taxonomy information,notes.on.taxonomy,Sexual.System,Karyotype,notes..Karyotype,Predicted.ploidy,female2N,male2N,notesMale2N,notes..comments,cite.key,,,,,,
Amathusiidae,Faunis,eumeus,,Faunis eumeus,,,,GBIF,Accepted,,,,,,58,,,"Maeki, K. & Ae, S.A. (1968). A chromosomal study of seventeen species of butterflies from Hong Kong (Lepidopetera, Rhopalocera). Kontyu 36: 65–74.",,,,,,
Autostichidae,Nephantis,serinopa,,Nephantis serinopa,,,,GBIF,Accepted,,,,,,60,,,"Mohanty, P.K. and Nayak, B., 1983. Chromosome numbers of some Indian moths.Genetica,61(2), pp.147-149.",,,,,,
Bombycidae,Bombyx,huttoni,,Bombyx huttoni,Theophila,religiosae,,Lepindex,Synonym,gonochorous,,,,,62,,,Tazima and Inagaki 1959,,,,,,
Bombycidae,Bombyx,mori,,Bombyx mori,,,,GBIF,Accepted,gonochorous,ZW,,,56,56,,,"Yatsu, N., 1913. Notes on the Spermatogenesis of the Wild and the Domesticated Silkworms. ???????, 8(2), pp.215-220.",,,,,,
Bombycidae,Bombyx,mori,,Bombyx mori,Bombyx,mandarina,,GBIF,Synonym,gonochorous,,,,,56,,,"Astaurov, B.L., 1959. Chromosome complex of Ussuri geographical race of Bombyx mandarina M. with special reference to the problem of the origin of the domesticated silkworm, Bombyx mori. Cytology, 3, pp.327-332.",,,,,,
Bombycidae,Bombyx,mori,,Bombyx mori,Bombyx,mandarina,,GBIF,Synonym,gonochorous,,,,,54,,,"Yatsu, N., 1913. Notes on the Spermatogenesis of the Wild and the Domesticated Silkworms. ???????, 8(2), pp.215-220.",,,,,,
Bombycidae,Theophila,mandarina,,Theophila mandarina,,,,GBIF,Accepted,,,,,,54,,,"Kernewitz, B., 1914. Über Spermiogenese bei Lepidopteren. Zoolog. Anz, 45.",,,,,,
Carposinidae,Carposina,niponensis,,Carposina niponensis,,,,GBIF,Accepted,gonochorous,,,,,62,,,"Saitoh, K. and Yamada, M., 1966. Notes on the chromosomes of the pach fruit moth, Carposina niponensis Walsingham. Kontyu 34(4), pp.301-303.",,,,,,
Crambidae,Cnaphalocrocis,medinalis,,Cnaphalocrocis medinalis,,,,GBIF,Accepted,,,,,,60,,,"Thakur, R., 2013. Chromosome Studies on Four Species of Moths.Cytologia,78(3), pp.327-331.",,,,,,
Crambidae,Nausinoe,perspectata,,Nausinoe perspectata,Lepyrodes,neptis,,Lepindex,Synonym,,,,,,62,,,"Mohanty, P.K. and Nayak, B., 1983. Chromosome numbers of some Indian moths.Genetica,61(2), pp.147-149.",,,,,,
